,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
506,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
507,ብሮንካይያል አስም,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
508,ብሮንካይያል አስም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
509,ብሮንካይያል አስም,ድካም,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት,የቤተሰብ_ታሪክ
510,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት
511,የደም ግፊት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
512,የደም ግፊት,ራስ ምታት,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
513,የደም ግፊት,ራስ ምታት,የደረት_ህመም,ሚዛን_ማጣት,የማተኮር_ማጣት
514,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,የማተኮር_ማጣት
515,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት
516,የደም ግፊት,ራስ ምታት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት
517,የደም ግፊት,የደረት_ህመም,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
518,የደም ግፊት,ራስ ምታት,መፍዘዝ,ሚዛን_ማጣት,የማተኮር_ማጣት
519,የደም ግፊት,ራስ ምታት,የደረት_ህመም,ሚዛን_ማጣት,የማተኮር_ማጣት
520,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
521,ማይግሬን,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ,ከመጠን በላይ_ረሃብ
522,ማይግሬን,አሲድነት,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ,ከመጠን በላይ_ረሃብ
523,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,የደበዘዘ_እና_የተዛባ_ዕይታ,ከመጠን በላይ_ረሃብ
524,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,ከመጠን በላይ_ረሃብ
525,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
526,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
527,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
528,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
529,ማይግሬን,አሲድነት,የምግብ አለመፈጨት ችግር,ራስ ምታት,የደበዘዘ_እና_የተዛባ_ዕይታ
530,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
531,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
532,የማኅጸን ጫፍ ስፖንዶሎሲስ,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
533,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
534,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,መፍዘዝ,ሚዛን_ማጣት
535,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,ሚዛን_ማጣት
536,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
537,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ
538,የማኅጸን ጫፍ ስፖንዶሎሲስ,በእግሮች ውስጥ_ደካማነት,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
539,የማኅጸን ጫፍ ስፖንዶሎሲስ,የጀርባ_ህመም,የአንገት_ህመም,መፍዘዝ,ሚዛን_ማጣት
540,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium
541,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium
542,ሽባ (የአንጎል ደም መፍሰስ),ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
543,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
544,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,ተቀይሯል_sensorium,
545,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,
546,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium
547,ሽባ (የአንጎል ደም መፍሰስ),ራስ ምታት,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
548,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,የአንድ_አካል_ጎን_ደካማነት,ተቀይሯል_sensorium,
549,ሽባ (የአንጎል ደም መፍሰስ),ማስታወክ,ራስ ምታት,ተቀይሯል_sensorium,
550,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
551,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
552,አገርጥቶትና,ማስታወክ,ድካም,ክብደት_መቀነስ,ከፍተኛ_ትኩሳት
553,አገርጥቶትና,እከክ,ድካም,ክብደት_መቀነስ,ከፍተኛ_ትኩሳት
554,አገርጥቶትና,እከክ,ማስታወክ,ክብደት_መቀነስ,ከፍተኛ_ትኩሳት
555,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
556,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
557,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
558,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
559,አገርጥቶትና,እከክ,ማስታወክ,ድካም,ክብደት_መቀነስ
560,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
561,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
562,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
563,ወባ,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ,ራስ ምታት
564,ወባ,ብርድ ብርድ ማለት,ከፍተኛ_ትኩሳት,ማላብ,ራስ ምታት
565,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ማላብ,ራስ ምታት
566,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ራስ ምታት
567,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
568,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
569,ወባ,ብርድ ብርድ ማለት,ማስታወክ,ከፍተኛ_ትኩሳት,ማላብ
570,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
571,የዶሮ ፐክስ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት,ከፍተኛ_ትኩሳት
572,የዶሮ ፐክስ,እከክ,ድካም,ግድየለሽነት,ከፍተኛ_ትኩሳት
573,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ግድየለሽነት,ከፍተኛ_ትኩሳት
574,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ከፍተኛ_ትኩሳት
575,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
576,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
577,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
578,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
579,የዶሮ ፐክስ,እከክ,የቆዳ_ሽፍታ,ድካም,ግድየለሽነት
580,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
581,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
582,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
583,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
584,ዴንጊ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም
585,ዴንጊ,የቆዳ_ሽፍታ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም
586,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም
587,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ድካም
588,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
589,ዴንጊ,የቆዳ_ሽፍታ,ብርድ ብርድ ማለት,የመገጣጠሚያ_ህመም,ማስታወክ
590,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
591,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
592,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
593,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
594,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
595,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
596,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
597,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
598,ታይፎይድ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
599,ታይፎይድ,ብርድ ብርድ ማለት,ድካም,ከፍተኛ_ትኩሳት,ራስ ምታት
600,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
601,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
602,ሄፓታይተስ ኤ,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት,ማቅለሽለሽ
603,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ቢጫ_ቆዳ,ጨለማ_ሽንት,ማቅለሽለሽ
604,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ጨለማ_ሽንት,ማቅለሽለሽ
605,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ማቅለሽለሽ
606,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
607,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
608,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
609,ሄፓታይተስ ኤ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
610,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
611,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
612,ሄፓታይተስ ቢ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ,ጨለማ_ሽንት
613,ሄፓታይተስ ቢ,እከክ,ግድየለሽነት,ቢጫ_ቆዳ,ጨለማ_ሽንት
614,ሄፓታይተስ ቢ,እከክ,ድካም,ቢጫ_ቆዳ,ጨለማ_ሽንት
615,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ጨለማ_ሽንት
616,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
617,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
618,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
619,ሄፓታይተስ ቢ,እከክ,ድካም,ግድየለሽነት,ቢጫ_ቆዳ
620,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
621,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
622,ሄፓታይተስ ሲ,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት,የዓይን_ቢጫ_መቅላት
623,ሄፓታይተስ ሲ,ድካም,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት,የዓይን_ቢጫ_መቅላት
624,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,የምግብ ፍላጎት_ማጣት,የዓይን_ቢጫ_መቅላት
625,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የዓይን_ቢጫ_መቅላት
626,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
627,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
628,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
629,ሄፓታይተስ ሲ,ድካም,ቢጫ_ቆዳ,ማቅለሽለሽ,የምግብ ፍላጎት_ማጣት
630,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
631,ሄፓታይተስ ዲ,ማስታወክ,ድካም,ቢጫ_ቆዳ,ጨለማ_ሽንት
632,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ድካም,ቢጫ_ቆዳ,ጨለማ_ሽንት
633,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ቢጫ_ቆዳ,ጨለማ_ሽንት
634,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ጨለማ_ሽንት
635,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
636,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
637,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
638,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
639,ሄፓታይተስ ዲ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
640,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
641,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
642,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
643,ሄፓታይተስ ኢ,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት,ቢጫ_ቆዳ
644,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ድካም,ከፍተኛ_ትኩሳት,ቢጫ_ቆዳ
645,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ከፍተኛ_ትኩሳት,ቢጫ_ቆዳ
646,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ቢጫ_ቆዳ
647,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
648,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
649,ሄፓታይተስ ኢ,የመገጣጠሚያ_ህመም,ማስታወክ,ድካም,ከፍተኛ_ትኩሳት
650,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት
651,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት
652,የአልኮል ሄፓታይተስ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት,የሆድ_መረበሽ
653,የአልኮል ሄፓታይተስ,ማስታወክ,የሆድ_ህመም,የሆድ_እብጠት,የሆድ_መረበሽ
654,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_እብጠት,የሆድ_መረበሽ
655,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_መረበሽ
656,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት
657,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት
658,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት
659,የአልኮል ሄፓታይተስ,ማስታወክ,ቢጫ_ቆዳ,የሆድ_ህመም,የሆድ_እብጠት
660,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ክብደት_መቀነስ
661,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ክብደት_መቀነስ
662,የሳንባ ነቀርሳ በሽታ,ማስታወክ,ድካም,ክብደት_መቀነስ,ሳል
663,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ድካም,ክብደት_መቀነስ,ሳል
664,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ክብደት_መቀነስ,ሳል
665,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ሳል
666,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ክብደት_መቀነስ
667,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ክብደት_መቀነስ
668,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ክብደት_መቀነስ
669,የሳንባ ነቀርሳ በሽታ,ብርድ ብርድ ማለት,ማስታወክ,ድካም,ክብደት_መቀነስ
670,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ሳል
671,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ሳል
672,የጋራ ቅዝቃዜ,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
673,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ድካም,ሳል,ከፍተኛ_ትኩሳት
674,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ሳል,ከፍተኛ_ትኩሳት
675,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ከፍተኛ_ትኩሳት
676,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ሳል
677,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ሳል
678,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ሳል
679,የጋራ ቅዝቃዜ,የማያቋርጥ_ማስነጠስ,ብርድ ብርድ ማለት,ድካም,ሳል
680,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
681,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
682,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
683,የሳንባ ምች,ድካም,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
684,የሳንባ ምች,ብርድ ብርድ ማለት,ሳል,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
685,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ከፍተኛ_ትኩሳት,ትንፋሽ ማጣት
686,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ትንፋሽ ማጣት
687,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
688,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
689,የሳንባ ምች,ብርድ ብርድ ማለት,ድካም,ሳል,ከፍተኛ_ትኩሳት
690,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ
691,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ
692,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ
693,ዲሞርፊክ ሄሞሮይድስ (ክምር),በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ,በፊንጢጣ ውስጥ መበሳጨት
694,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,pain_in_anal_region,ደም የተሞላ_ሰገራ,በፊንጢጣ ውስጥ መበሳጨት
695,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,ደም የተሞላ_ሰገራ,በፊንጢጣ ውስጥ መበሳጨት
696,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,በፊንጢጣ ውስጥ መበሳጨት
697,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ
698,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ
699,ዲሞርፊክ ሄሞሮይድስ (ክምር),የሆድ ድርቀት,በአንጀት_እንቅስቃሴ_ጊዜ_ህመም,pain_in_anal_region,ደም የተሞላ_ሰገራ
700,የልብ ድካም,ማስታወክ,ትንፋሽ ማጣት,ማላብ,የደረት_ህመም
701,የልብ ድካም,ማስታወክ,ትንፋሽ ማጣት,ማላብ,የደረት_ህመም
702,የልብ ድካም,ትንፋሽ ማጣት,ማላብ,የደረት_ህመም,
703,የልብ ድካም,ማስታወክ,ማላብ,የደረት_ህመም,
704,የልብ ድካም,ማስታወክ,ትንፋሽ ማጣት,የደረት_ህመም,
705,የልብ ድካም,ማስታወክ,ትንፋሽ ማጣት,ማላብ,
706,የልብ ድካም,ማስታወክ,ትንፋሽ ማጣት,ማላብ,የደረት_ህመም
707,የልብ ድካም,ትንፋሽ ማጣት,ማላብ,የደረት_ህመም,
708,የልብ ድካም,ማስታወክ,ማላብ,የደረት_ህመም,
709,የልብ ድካም,ማስታወክ,ትንፋሽ ማጣት,የደረት_ህመም,
710,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት
711,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት
712,የ varicose ደም መላሽ ቧንቧዎች,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት,እብጠት_እግር
713,የ varicose ደም መላሽ ቧንቧዎች,ድካም,መሰባበር,ከመጠን ያለፈ ውፍረት,እብጠት_እግር
714,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,ከመጠን ያለፈ ውፍረት,እብጠት_እግር
715,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,እብጠት_እግር
716,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት
717,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት
718,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት
719,የ varicose ደም መላሽ ቧንቧዎች,ድካም,ቁርጠት,መሰባበር,ከመጠን ያለፈ ውፍረት
720,ሃይፖታይሮዲዝም,ድካም,ክብደት_መጨመር,ቀዝቃዛ_እጅ_እና_እግር,የስሜት_መለዋወጥ
721,ሃይፖታይሮዲዝም,ድካም,ክብደት_መጨመር,ቀዝቃዛ_እጅ_እና_እግር,የስሜት_መለዋወጥ
722,ሃይፖታይሮዲዝም,ክብደት_መጨመር,ቀዝቃዛ_እጅ_እና_እግር,የስሜት_መለዋወጥ,ግድየለሽነት
723,ሃይፖታይሮዲዝም,ክብደት_መጨመር,ቀዝቃዛ_እጅ_እና_እግር,የስሜት_መለዋወጥ,ግድየለሽነት
724,ሃይፖታይሮዲዝም,ድካም,ቀዝቃዛ_እጅ_እና_እግር,የስሜት_መለዋወጥ,ግድየለሽነት
725,ሃይፖታይሮዲዝም,ድካም,ክብደት_መጨመር,የስሜት_መለዋወጥ,ግድየለሽነት
726,ሃይፖታይሮዲዝም,ድካም,ክብደት_መጨመር,ቀዝቃዛ_እጅ_እና_እግር,ግድየለሽነት
