,Unnamed: 0,disease,workout
305,305,የ varicose ደም መላሽ ቧንቧዎች,በፍላቮኖይድ የበለጸጉ ምግቦችን ያካትቱ
306,306,የ varicose ደም መላሽ ቧንቧዎች,ለረጅም ጊዜ ከመቆም ወይም ከመቀመጥ ይቆጠቡ
307,307,የ varicose ደም መላሽ ቧንቧዎች,የጤና እንክብካቤ ባለሙያ ያማክሩ
308,308,የ varicose ደም መላሽ ቧንቧዎች,የሕክምና ምክሮችን ይከተሉ
309,309,የ varicose ደም መላሽ ቧንቧዎች,መደበኛ የአካል ብቃት እንቅስቃሴ ማድረግ
310,310,ሃይፖታይሮዲዝም,በአዮዲን የበለጸጉ ምግቦችን ያካትቱ
311,311,ሃይፖታይሮዲዝም,በሴሊኒየም የበለጸጉ ምግቦችን ይጠቀሙ
312,312,ሃይፖታይሮዲዝም,እርጥበት ይኑርዎት
313,313,ሃይፖታይሮዲዝም,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
314,314,ሃይፖታይሮዲዝም,የተዘጋጁ ምግቦችን ይገድቡ
315,315,ሃይፖታይሮዲዝም,በቫይታሚን ቢ እና ዲ የበለጸጉ ምግቦችን ይመገቡ
316,316,ሃይፖታይሮዲዝም,የጤና እንክብካቤ ባለሙያ ያማክሩ
317,317,ሃይፖታይሮዲዝም,የሕክምና ምክሮችን ይከተሉ
318,318,ሃይፖታይሮዲዝም,የተረጋጋ ክብደትን ይጠብቁ
319,319,ሃይፖታይሮዲዝም,መደበኛ የአካል ብቃት እንቅስቃሴ ማድረግ
320,320,ሃይፐርታይሮዲዝም,የአዮዲን መጠን ይገድቡ
321,321,ሃይፐርታይሮዲዝም,የመስቀል አትክልቶችን በልክ ይበሉ
322,322,ሃይፐርታይሮዲዝም,እርጥበት ይኑርዎት
323,323,ሃይፐርታይሮዲዝም,በንጥረ-ምግብ የበለጸጉ ምግቦችን ያካትቱ
324,324,ሃይፐርታይሮዲዝም,ካፌይን እና አልኮል ይገድቡ
325,325,ሃይፐርታይሮዲዝም,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
326,326,ሃይፐርታይሮዲዝም,የጤና እንክብካቤ ባለሙያ ያማክሩ
327,327,ሃይፐርታይሮዲዝም,የሕክምና ምክሮችን ይከተሉ
328,328,ሃይፐርታይሮዲዝም,የተረጋጋ ክብደትን ይጠብቁ
329,329,ሃይፐርታይሮዲዝም,መደበኛ የአካል ብቃት እንቅስቃሴ ማድረግ
330,330,ሃይፖግላይሴሚያ,ውስብስብ ካርቦሃይድሬትን ይጠቀሙ
331,331,ሃይፖግላይሴሚያ,በፕሮቲን የበለጸጉ ምግቦችን ያካትቱ
332,332,ሃይፖግላይሴሚያ,እርጥበት ይኑርዎት
333,333,ሃይፖግላይሴሚያ,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
334,334,ሃይፖግላይሴሚያ,መደበኛ ምግቦችን እና መክሰስ ይጠቀሙ
335,335,ሃይፖግላይሴሚያ,የጤና እንክብካቤ ባለሙያ ያማክሩ
336,336,ሃይፖግላይሴሚያ,የደም ስኳር መጠን ይቆጣጠሩ
337,337,ሃይፖግላይሴሚያ,የሕክምና ምክሮችን ይከተሉ
338,338,ሃይፖግላይሴሚያ,በመደበኛ አካላዊ እንቅስቃሴ ውስጥ ይሳተፉ
339,339,ሃይፖግላይሴሚያ,አልኮል መጠጣትን ይገድቡ
340,340,የአርትሮሲስ በሽታ,ፀረ-ብግነት ምግቦችን ይጠቀሙ
341,341,የአርትሮሲስ በሽታ,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
342,342,የአርትሮሲስ በሽታ,በAntioxidant የበለጸጉ ምግቦችን ይጠቀሙ
343,343,የአርትሮሲስ በሽታ,እርጥበት ይኑርዎት
344,344,የአርትሮሲስ በሽታ,የተዘጋጁ ምግቦችን ይገድቡ
345,345,የአርትሮሲስ በሽታ,በቫይታሚን ኬ የበለጸጉ ምግቦችን ያካትቱ
346,346,የአርትሮሲስ በሽታ,የጤና እንክብካቤ ባለሙያ ያማክሩ
347,347,የአርትሮሲስ በሽታ,የሕክምና ምክሮችን ይከተሉ
348,348,የአርትሮሲስ በሽታ,Engage in low-impact የአካል ብቃት እንቅስቃሴ ማድረግ
349,349,የአርትሮሲስ በሽታ,ጤናማ ክብደትን ይጠብቁ
350,350,አርትራይተስ,ፀረ-ብግነት ምግቦችን ይጠቀሙ
351,351,አርትራይተስ,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
352,352,አርትራይተስ,በAntioxidant የበለጸጉ ምግቦችን ይጠቀሙ
353,353,አርትራይተስ,እርጥበት ይኑርዎት
354,354,አርትራይተስ,የተዘጋጁ ምግቦችን ይገድቡ
355,355,አርትራይተስ,በቫይታሚን ኬ የበለጸጉ ምግቦችን ያካትቱ
356,356,አርትራይተስ,የጤና እንክብካቤ ባለሙያ ያማክሩ
357,357,አርትራይተስ,የሕክምና ምክሮችን ይከተሉ
358,358,አርትራይተስ,Engage in low-impact የአካል ብቃት እንቅስቃሴ ማድረግ
359,359,አርትራይተስ,ጤናማ ክብደትን ይጠብቁ
360,360,(vertigo) Paroymsal  Positional Vertigo,"ቀስቃሽ ምግቦችን ያስወግዱ (caffeine, alcohol)"
361,361,(vertigo) Paroymsal  Positional Vertigo,የሶዲየም መጠንን ይገድቡ
362,362,(vertigo) Paroymsal  Positional Vertigo,እርጥበት ይኑርዎት
363,363,(vertigo) Paroymsal  Positional Vertigo,ዝንጅብል እና ginkgo biloba ይጠቀሙ
364,364,(vertigo) Paroymsal  Positional Vertigo,ሰው ሰራሽ ጣፋጮችን ይገድቡ
365,365,(vertigo) Paroymsal  Positional Vertigo,የጤና እንክብካቤ ባለሙያ ያማክሩ
366,366,(vertigo) Paroymsal  Positional Vertigo,ድንገተኛ የጭንቅላት እንቅስቃሴዎችን ያስወግዱ
367,367,(vertigo) Paroymsal  Positional Vertigo,የሕክምና ምክሮችን ይከተሉ
368,368,(vertigo) Paroymsal  Positional Vertigo,ጭንቀትን ይቆጣጠሩ
369,369,(vertigo) Paroymsal  Positional Vertigo,ካፌይን እና አነቃቂዎችን ይገድቡ
370,370,ብጉር,የተመጣጠነ ምግብን ይጠቀሙ
371,371,ብጉር,ከፍተኛ የጂሊኬሚክ ምግቦችን እና የወተት ተዋጽኦዎችን ይገድቡ
372,372,ብጉር,ፀረ-ንጥረ-ምግቦችን ያካትቱ
373,373,ብጉር,እርጥበት ይኑርዎት
374,374,ብጉር,የተዘጋጁ ምግቦችን ይገድቡ
375,375,ብጉር,በዚንክ የበለጸጉ ምግቦችን ያካትቱ
376,376,ብጉር,የቆዳ እንክብካቤ ባለሙያ ያማክሩ
377,377,ብጉር,ጥሩ የቆዳ እንክብካቤ ንጽህናን ይለማመዱ
378,378,ብጉር,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
379,379,ብጉር,የሕክምና ምክሮችን ይከተሉ
380,380,የሽንት ቧንቧ ኢንፌክሽን,እርጥበት ይኑርዎት
381,381,የሽንት ቧንቧ ኢንፌክሽን,የክራንቤሪ ምርቶችን ይጠቀሙ
382,382,የሽንት ቧንቧ ኢንፌክሽን,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
383,383,የሽንት ቧንቧ ኢንፌክሽን,ካፌይን እና አልኮል ይገድቡ
384,384,የሽንት ቧንቧ ኢንፌክሽን,ፕሮባዮቲኮችን ይጠቀሙ
385,385,የሽንት ቧንቧ ኢንፌክሽን,ቅመም እና አሲዳማ ምግቦችን ያስወግዱ
386,386,የሽንት ቧንቧ ኢንፌክሽን,የጤና እንክብካቤ ባለሙያ ያማክሩ
387,387,የሽንት ቧንቧ ኢንፌክሽን,የሕክምና ምክሮችን ይከተሉ
388,388,የሽንት ቧንቧ ኢንፌክሽን,ጥሩ ንጽህናን ይጠብቁ
389,389,የሽንት ቧንቧ ኢንፌክሽን,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
390,390,Psoriasis,ፀረ-ብግነት ምግቦችን ይጠቀሙ
391,391,Psoriasis,ኦሜጋ -3 ቅባት አሲዶችን ያካትቱ
392,392,Psoriasis,የቫይታሚን ዲ አናሎጎችን ያካትቱ
393,393,Psoriasis,አልኮል መጠጣትን ይገድቡ
394,394,Psoriasis,እርጥበት ይኑርዎት
395,395,Psoriasis,የጤና እንክብካቤ ባለሙያ ያማክሩ
396,396,Psoriasis,የተዘጋጁ ምግቦችን ይገድቡ
397,397,Psoriasis,የሕክምና ምክሮችን ይከተሉ
398,398,Psoriasis,ጭንቀትን ይቆጣጠሩ
399,399,Psoriasis,በሕክምና መመሪያ ስር የፎቶ ቴራፒን ያስቡ
400,400,ኢምፔቲጎ,ጥሩ ንጽህናን ይጠብቁ
401,401,ኢምፔቲጎ,እርጥበት ይኑርዎት
402,402,ኢምፔቲጎ,በንጥረ-ምግብ የበለጸጉ ምግቦችን ይጠቀሙ
403,403,ኢምፔቲጎ,ጣፋጭ ምግቦችን እና መጠጦችን ይገድቡ
404,404,ኢምፔቲጎ,በቫይታሚን ሲ የበለጸጉ ምግቦችን ያካትቱ
405,405,ኢምፔቲጎ,የጤና እንክብካቤ ባለሙያ ያማክሩ
406,406,ኢምፔቲጎ,የሕክምና ምክሮችን ይከተሉ
407,407,ኢምፔቲጎ,መቧጨርን ያስወግዱ
408,408,ኢምፔቲጎ,የታዘዙ አንቲባዮቲኮችን ይውሰዱ
409,409,ኢምፔቲጎ,የቁስል እንክብካቤን ይለማመዱ
